r_over_rs,D_GR,D_SSZ,delta,z_GR,z_SSZ
1.7506,1.0,1.0,0.0,0.0,0.0
1.7513,1.0,1.0,0.0,0.0,0.0
1.752,1.0,1.0,0.0,0.0,0.0
1.7527,1.0,1.0,0.0,0.0,0.0
1.7534,1.0,1.0,0.0,0.0,0.0
1.7541,1.0,1.0,0.0,0.0,0.0
1.7548,1.0,1.0,0.0,0.0,0.0
1.7555,1.0,1.0,0.0,0.0,0.0
1.7562,1.0,1.0,0.0,0.0,0.0
1.7569,1.0,1.0,0.0,0.0,0.0
1.7576,1.0,1.0,0.0,0.0,0.0
1.7583,1.0,1.0,0.0,0.0,0.0
1.759,1.0,1.0,0.0,0.0,0.0
1.7597,1.0,1.0,0.0,0.0,0.0
1.7604,1.0,1.0,0.0,0.0,0.0
1.7610999999999999,1.0,1.0,0.0,0.0,0.0
1.7618,1.0,1.0,0.0,0.0,0.0
1.7625,1.0,1.0,0.0,0.0,0.0
1.7631999999999999,1.0,1.0,0.0,0.0,0.0
1.7639,1.0,1.0,0.0,0.0,0.0
1.7646,1.0,1.0,0.0,0.0,0.0
1.7652999999999999,1.0,1.0,0.0,0.0,0.0
1.766,1.0,1.0,0.0,0.0,0.0
1.7667,1.0,1.0,0.0,0.0,0.0
1.7673999999999999,1.0,1.0,0.0,0.0,0.0
1.7681,1.0,1.0,0.0,0.0,0.0
1.7688,1.0,1.0,0.0,0.0,0.0
1.7695,1.0,1.0,0.0,0.0,0.0
1.7702,1.0,1.0,0.0,0.0,0.0
1.7709,1.0,1.0,0.0,0.0,0.0
1.7716,1.0,1.0,0.0,0.0,0.0
1.7723,1.0,1.0,0.0,0.0,0.0
1.7730000000000001,1.0,1.0,0.0,0.0,0.0
1.7737,1.0,1.0,0.0,0.0,0.0
1.7744,1.0,1.0,0.0,0.0,0.0
1.7751000000000001,1.0,1.0,0.0,0.0,0.0
1.7758,1.0,1.0,0.0,0.0,0.0
1.7765,1.0,1.0,0.0,0.0,0.0
1.7772000000000001,1.0,1.0,0.0,0.0,0.0
1.7779,1.0,1.0,0.0,0.0,0.0
1.7786,1.0,1.0,0.0,0.0,0.0
1.7793,1.0,1.0,0.0,0.0,0.0
1.78,1.0,1.0,0.0,0.0,0.0
1.7807,1.0,1.0,0.0,0.0,0.0
1.7814,1.0,1.0,0.0,0.0,0.0
1.7821,1.0,1.0,0.0,0.0,0.0
1.7828,1.0,1.0,0.0,0.0,0.0
1.7835,1.0,1.0,0.0,0.0,0.0
1.7842,1.0,1.0,0.0,0.0,0.0
1.7849,1.0,1.0,0.0,0.0,0.0
1.7856,1.0,1.0,0.0,0.0,0.0
1.7863,1.0,1.0,0.0,0.0,0.0
1.787,1.0,1.0,0.0,0.0,0.0
1.7877,1.0,1.0,0.0,0.0,0.0
1.7884,1.0,1.0,0.0,0.0,0.0
1.7891,1.0,1.0,0.0,0.0,0.0
1.7898,1.0,1.0,0.0,0.0,0.0
1.7905,1.0,1.0,0.0,0.0,0.0
1.7912,1.0,1.0,0.0,0.0,0.0
1.7919,1.0,1.0,0.0,0.0,0.0
