r_over_rs,D_GR,D_SSZ,Xi
3.889722431,0.861923574,0.500462403,0.998152096
3.890722681,0.861961914,0.500461655,0.998155084
3.891722931,0.862000232,0.500460908,0.998158067
3.892723181,0.862038529,0.500460162,0.998161046
3.893723431,0.862076805,0.500459417,0.998164020
3.894723681,0.862115059,0.500458673,0.998166989
3.895723931,0.862153292,0.500457931,0.998169953
3.896724181,0.862191504,0.500457190,0.998172913
3.897724431,0.862229695,0.500456450,0.998175867
3.898724681,0.862267864,0.500455711,0.998178817
3.899724931,0.862306012,0.500454973,0.998181762
3.900725181,0.862344138,0.500454237,0.998184703
3.901725431,0.862382244,0.500453501,0.998187638
3.902725681,0.862420328,0.500452767,0.998190569
3.903725931,0.862458391,0.500452035,0.998193495
3.904726182,0.862496432,0.500451303,0.998196416
3.905726432,0.862534453,0.500450572,0.998199333
3.906726682,0.862572453,0.500449843,0.998202245
3.907726932,0.862610431,0.500449115,0.998205152
3.908727182,0.862648388,0.500448388,0.998208055
3.909727432,0.862686324,0.500447662,0.998210952
3.910727682,0.862724239,0.500446938,0.998213846
3.911727932,0.862762134,0.500446214,0.998216734
3.912728182,0.862800007,0.500445492,0.998219618
3.913728432,0.862837858,0.500444771,0.998222497
3.914728682,0.862875689,0.500444051,0.998225371
3.915728932,0.862913499,0.500443332,0.998228241
3.916729182,0.862951288,0.500442615,0.998231106
3.917729432,0.862989057,0.500441899,0.998233967
3.918729682,0.863026804,0.500441183,0.998236823
3.919729932,0.863064530,0.500440469,0.998239674
3.920730183,0.863102235,0.500439756,0.998242521
3.921730433,0.863139920,0.500439044,0.998245363
3.922730683,0.863177583,0.500438334,0.998248200
3.923730933,0.863215226,0.500437624,0.998251033
3.924731183,0.863252848,0.500436916,0.998253861
3.925731433,0.863290449,0.500436209,0.998256685
3.926731683,0.863328029,0.500435503,0.998259504
3.927731933,0.863365589,0.500434798,0.998262319
3.928732183,0.863403128,0.500434094,0.998265129
3.929732433,0.863440646,0.500433392,0.998267934
3.930732683,0.863478143,0.500432690,0.998270735
3.931732933,0.863515620,0.500431990,0.998273532
3.932733183,0.863553076,0.500431291,0.998276324
3.933733433,0.863590511,0.500430593,0.998279111
3.934733683,0.863627925,0.500429896,0.998281894
3.935733933,0.863665319,0.500429200,0.998284673
3.936734184,0.863702693,0.500428505,0.998287446
3.937734434,0.863740045,0.500427812,0.998290216
3.938734684,0.863777378,0.500427119,0.998292981
3.939734934,0.863814689,0.500426428,0.998295741
3.940735184,0.863851980,0.500425738,0.998298497
3.941735434,0.863889251,0.500425049,0.998301249
3.942735684,0.863926501,0.500424361,0.998303996
3.943735934,0.863963730,0.500423674,0.998306739
3.944736184,0.864000939,0.500422988,0.998309477
3.945736434,0.864038128,0.500422304,0.998312211
3.946736684,0.864075296,0.500421620,0.998314940
3.947736934,0.864112443,0.500420938,0.998317665
3.948737184,0.864149571,0.500420257,0.998320386
3.949737434,0.864186677,0.500419576,0.998323102
3.950737684,0.864223764,0.500418897,0.998325813
3.951737934,0.864260830,0.500418219,0.998328521
3.952738185,0.864297876,0.500417542,0.998331224
3.953738435,0.864334901,0.500416867,0.998333922
3.954738685,0.864371906,0.500416192,0.998336617
3.955738935,0.864408891,0.500415518,0.998339307
3.956739185,0.864445856,0.500414846,0.998341992
3.957739435,0.864482800,0.500414174,0.998344673
3.958739685,0.864519724,0.500413504,0.998347350
3.959739935,0.864556628,0.500412835,0.998350023
3.960740185,0.864593511,0.500412167,0.998352691
3.961740435,0.864630375,0.500411500,0.998355355
3.962740685,0.864667218,0.500410834,0.998358015
3.963740935,0.864704041,0.500410169,0.998360670
3.964741185,0.864740844,0.500409505,0.998363321
3.965741435,0.864777626,0.500408842,0.998365968
3.966741685,0.864814389,0.500408180,0.998368610
3.967741935,0.864851132,0.500407520,0.998371248
3.968742186,0.864887854,0.500406860,0.998373882
3.969742436,0.864924556,0.500406202,0.998376512
