alpha,eta,omega,m,epsilon,q,sigma0,R,Kappa,phi,r0,K,lambda_A,Omega0,segment_mode,Xi,logG,lhs,stable_direct,stable_criterion,near_boundary,criterion_margin,integral_gamma,damping_sum,log_mirror
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,0.522222222222,uniform,107.74866603061936,57.78009455323384,10.240000000000002,False,False,False,-97.50866603061937,87.99619021483737,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,0.733333333333,uniform,156.13216368919996,128.39448998334692,0.0,False,False,False,-156.13216368919996,128.39459998839726,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,0.733333333333,uniform,156.13216368919996,98.17850432679373,10.240000000000002,False,False,False,-145.89216368919995,128.39459998839726,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,0.733333333333,uniform,156.1321636891745,128.39448998332566,0.0,False,False,False,-156.1321636891745,128.394599988376,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,0.733333333333,uniform,156.1321636891745,98.17850432677247,10.240000000000002,False,False,False,-145.89216368917448,128.394599988376,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,0.944444444444,uniform,204.5156613477551,168.79289975688553,0.0,False,False,False,-204.5156613477551,168.79300976193588,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,0.944444444444,uniform,204.5156613477551,138.57691410033235,10.240000000000002,False,False,False,-194.2756613477551,168.79300976193588,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,0.944444444444,uniform,204.51566134772963,168.79289975686427,0.0,False,False,False,-204.51566134772963,168.79300976191462,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,0.944444444444,uniform,204.51566134772963,138.5769141003111,10.240000000000002,False,False,False,-194.27566134772962,168.79300976191462,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,1.15555555556,uniform,252.89915900631027,209.19130953042418,0.0,False,False,False,-252.89915900631027,209.19141953547452,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,1.15555555556,uniform,252.89915900631027,178.97532387387096,10.240000000000002,False,False,False,-242.65915900631026,209.19141953547452,30.2159856565532,-0.00011000505033366343
