r_over_rs,r_m,m_geom_m,Phi,rho_fl,pr_fl,pt_fl,phi,phip,Zpar,U,X,rho_phi,pr_phi,pt_phi,Delta_phi,rho_tot,pr_tot,pt_tot,one_minus_2m_over_r
3.4160804020e+00,1.0088844784e+04,1.4766696910e+03,1.3490810797e+00,-1.6810852491e-27,-5.0432557473e-28,-5.0432557473e-28,1.0000019071e-04,3.0890526265e-14,1.0000002999e+00,1.4993430837e-22,6.7489142968e-28,1.4993464582e-22,-1.4993397092e-22,-1.4993464582e-22,-6.7489163205e-28,1.4993296473e-22,-1.4993447525e-22,-1.4993515014e-22,7.0726684319e-01
3.4711055276e+00,1.0251352654e+04,1.4766696910e+03,1.3523414106e+00,-1.7294396996e-27,-5.1883190988e-28,-5.1883190988e-28,1.0000019574e-04,3.1045344390e-14,1.0000002999e+00,1.4993433352e-22,6.8614584659e-28,1.4993467660e-22,-1.4993399045e-22,-1.4993467660e-22,-6.8614605236e-28,1.4993294716e-22,-1.4993450928e-22,-1.4993519543e-22,7.1190734709e-01
3.5261306533e+00,1.0413860525e+04,1.4766696910e+03,1.3554842669e+00,-1.7780742912e-27,-5.3342228735e-28,-5.3342228735e-28,1.0000020080e-04,3.1203374112e-14,1.0000002999e+00,1.4993435880e-22,6.9752619993e-28,1.4993470756e-22,-1.4993401004e-22,-1.4993470756e-22,-6.9752640913e-28,1.4993292949e-22,-1.4993454346e-22,-1.4993524099e-22,7.1640302123e-01
3.5811557789e+00,1.0576368395e+04,1.4766696910e+03,1.3585171774e+00,-1.8269907408e-27,-5.4809722224e-28,-5.4809722224e-28,1.0000020588e-04,3.1364468360e-14,1.0000002999e+00,1.4993438420e-22,7.0903367792e-28,1.4993473872e-22,-1.4993402969e-22,-1.4993473872e-22,-7.0903389053e-28,1.4993291173e-22,-1.4993457778e-22,-1.4993528682e-22,7.2076054164e-01
3.6361809045e+00,1.0738876266e+04,1.4766696910e+03,1.3614471036e+00,-1.8761895232e-27,-5.6285685696e-28,-5.6285685696e-28,1.0000021099e-04,3.1528484169e-14,1.0000002999e+00,1.4993440973e-22,7.2066911514e-28,1.4993477006e-22,-1.4993404939e-22,-1.4993477006e-22,-7.2066933126e-28,1.4993289387e-22,-1.4993461225e-22,-1.4993533292e-22,7.2498618021e-01
3.6912060302e+00,1.0901384136e+04,1.4766696910e+03,1.3642784814e+00,-1.9256762310e-27,-5.7770286929e-28,-5.7770286929e-28,1.0000021613e-04,3.1695342315e-14,1.0000002999e+00,1.4993443538e-22,7.3243578340e-28,1.4993480160e-22,-1.4993406916e-22,-1.4993480160e-22,-7.3243600305e-28,1.4993287592e-22,-1.4993464686e-22,-1.4993537930e-22,7.2908583486e-01
3.7462311558e+00,1.1063892007e+04,1.4766696910e+03,1.3669868113e+00,-1.9755575440e-27,-5.9266726319e-28,-5.9266726319e-28,1.0000022129e-04,3.1865831976e-14,1.0000002999e+00,1.4993446120e-22,7.4437716537e-28,1.4993483339e-22,-1.4993408901e-22,-1.4993483339e-22,-7.4437738861e-28,1.4993285783e-22,-1.4993468168e-22,-1.4993542606e-22,7.3306505701e-01
3.8012562814e+00,1.1226399877e+04,1.4766696910e+03,1.3696105506e+00,-2.0257355106e-27,-6.0772065319e-28,-6.0772065319e-28,1.0000022649e-04,3.2038871662e-14,1.0000002999e+00,1.4993448715e-22,7.5644981008e-28,1.4993486538e-22,-1.4993410893e-22,-1.4993486538e-22,-7.5645003693e-28,1.4993283964e-22,-1.4993471665e-22,-1.4993547310e-22,7.3692907661e-01
3.8562814070e+00,1.1388907748e+04,1.4766696910e+03,1.3721548970e+00,-2.0762066737e-27,-6.2286200210e-28,-6.2286200210e-28,1.0000023171e-04,3.2214332735e-14,1.0000002999e+00,1.4993451323e-22,7.6865340366e-28,1.4993489756e-22,-1.4993412891e-22,-1.4993489756e-22,-7.6865363414e-28,1.4993282135e-22,-1.4993475177e-22,-1.4993552042e-22,7.4068282512e-01
3.9113065327e+00,1.1551415618e+04,1.4766696910e+03,1.3746246607e+00,-2.1269660624e-27,-6.3808981872e-28,-6.3808981872e-28,1.0000023695e-04,3.2392092390e-14,1.0000002999e+00,1.4993453944e-22,7.8098750651e-28,1.4993492993e-22,-1.4993414894e-22,-1.4993492993e-22,-7.8098774071e-28,1.4993280297e-22,-1.4993478703e-22,-1.4993556802e-22,7.4433095651e-01
3.9663316583e+00,1.1713923489e+04,1.4766696910e+03,1.3769905288e+00,-2.1781618494e-27,-6.5344855481e-28,-6.5344855481e-28,1.0000024224e-04,3.2573113197e-14,1.0000002999e+00,1.4993456583e-22,7.9350417749e-28,1.4993496259e-22,-1.4993416908e-22,-1.4993496259e-22,-7.9350441546e-28,1.4993278442e-22,-1.4993482253e-22,-1.4993561603e-22,7.4787786646e-01
4.0213567839e+00,1.1876431359e+04,1.4766696910e+03,1.3792872386e+00,-2.2296745297e-27,-6.6890235891e-28,-6.6890235891e-28,1.0000024755e-04,3.2756344974e-14,1.0000002999e+00,1.4993459237e-22,8.0615820594e-28,1.4993499544e-22,-1.4993418929e-22,-1.4993499544e-22,-8.0615844767e-28,1.4993276577e-22,-1.4993485819e-22,-1.4993566435e-22,7.5132771009e-01
4.0763819095e+00,1.2038939230e+04,1.4766696910e+03,1.3815227662e+00,-2.2814787891e-27,-6.8444363673e-28,-6.8444363673e-28,1.0000025288e-04,3.2941548070e-14,1.0000002999e+00,1.4993461902e-22,8.1894246762e-28,1.4993502850e-22,-1.4993420955e-22,-1.4993502850e-22,-8.1894271319e-28,1.4993274702e-22,-1.4993489400e-22,-1.4993571294e-22,7.5468441815e-01
4.1314070352e+00,1.2201447100e+04,1.4766696910e+03,1.3836876094e+00,-2.3336358950e-27,-7.0009076850e-28,-7.0009076850e-28,1.0000025825e-04,3.3129050471e-14,1.0000002999e+00,1.4993464584e-22,8.3187776297e-28,1.4993506178e-22,-1.4993422990e-22,-1.4993506178e-22,-8.3187801242e-28,1.4993272814e-22,-1.4993492999e-22,-1.4993576187e-22,7.5795171197e-01
4.1864321608e+00,1.2363954971e+04,1.4766696910e+03,1.3857719975e+00,-2.3862299702e-27,-7.1586899107e-28,-7.1586899107e-28,1.0000026365e-04,3.3319213340e-14,1.0000002999e+00,1.4993467284e-22,8.4498713573e-28,1.4993509533e-22,-1.4993425034e-22,-1.4993509533e-22,-8.4498738911e-28,1.4993270910e-22,-1.4993496621e-22,-1.4993581120e-22,7.6113311727e-01
4.2414572864e+00,1.2526462841e+04,1.4766696910e+03,1.3878064158e+00,-2.4391128133e-27,-7.3173384399e-28,-7.3173384399e-28,1.0000026908e-04,3.3511047702e-14,1.0000002999e+00,1.4993469996e-22,8.5822511071e-28,1.4993512908e-22,-1.4993427085e-22,-1.4993512908e-22,-8.5822536807e-28,1.4993268996e-22,-1.4993500258e-22,-1.4993586081e-22,7.6423197678e-01
4.2964824121e+00,1.2688970712e+04,1.4766696910e+03,1.3897885426e+00,-2.4923042828e-27,-7.4769128484e-28,-7.4769128484e-28,1.0000027454e-04,3.3704638313e-14,1.0000002999e+00,1.4993472722e-22,8.7159968929e-28,1.4993516302e-22,-1.4993429142e-22,-1.4993516302e-22,-8.7159995068e-28,1.4993267072e-22,-1.4993503911e-22,-1.4993591071e-22,7.6725146199e-01
4.3515075377e+00,1.2851478582e+04,1.4766696910e+03,1.3916907562e+00,-2.5460076934e-27,-7.6380230803e-28,-7.6380230803e-28,1.0000028004e-04,3.3900952643e-14,1.0000002999e+00,1.4993475470e-22,8.8516506481e-28,1.4993519729e-22,-1.4993431212e-22,-1.4993519729e-22,-8.8516533026e-28,1.4993265128e-22,-1.4993507592e-22,-1.4993596109e-22,7.7019458398e-01
4.4065326633e+00,1.3013986453e+04,1.4766696910e+03,1.3935523694e+00,-2.5999903235e-27,-7.7999709706e-28,-7.7999709706e-28,1.0000028556e-04,3.4098667721e-14,1.0000002999e+00,1.4993478231e-22,8.9885654607e-28,1.4993523173e-22,-1.4993433288e-22,-1.4993523173e-22,-8.9885681560e-28,1.4993263174e-22,-1.4993511287e-22,-1.4993601173e-22,7.7306420344e-01
4.4615577889e+00,1.3176494323e+04,1.4766696910e+03,1.3953682583e+00,-2.6542905484e-27,-7.9628716451e-28,-7.9628716451e-28,1.0000029112e-04,3.4297963111e-14,1.0000002999e+00,1.4993481004e-22,9.1268669925e-28,1.4993526639e-22,-1.4993435370e-22,-1.4993526639e-22,-9.1268697293e-28,1.4993261210e-22,-1.4993514999e-22,-1.4993606267e-22,7.7586303993e-01
4.5165829146e+00,1.3339002194e+04,1.4766696910e+03,1.3971140468e+00,-2.7091181442e-27,-8.1273544325e-28,-8.1273544325e-28,1.0000029671e-04,3.4499713457e-14,1.0000002999e+00,1.4993483801e-22,9.2670573427e-28,1.4993530136e-22,-1.4993437466e-22,-1.4993530136e-22,-9.2670601218e-28,1.4993259225e-22,-1.4993518739e-22,-1.4993611410e-22,7.7859368046e-01
4.5716080402e+00,1.3501510064e+04,1.4766696910e+03,1.3988270493e+00,-2.7642080877e-27,-8.2926242630e-28,-8.2926242630e-28,1.0000030233e-04,3.4702623183e-14,1.0000002999e+00,1.4993486609e-22,9.4084788529e-28,1.4993533652e-22,-1.4993439567e-22,-1.4993533652e-22,-9.4084816743e-28,1.4993257231e-22,-1.4993522493e-22,-1.4993616578e-22,7.8125858752e-01
